file_path,releaseId,sbom_deps,graph_deps,dependencies_match
sbom/org/janusgraph/janusgraph-core/1.1.0-20240801-124342.ff323da/janusgraph-core-1.1.0-20240801-124342.ff323da-cyclonedx.xml,org.janusgraph:janusgraph-core:1.1.0-20240801-124342.ff323da,19,19,True
sbom/org/janusgraph/janusgraph-core/1.1.0-20240814-130106.bf4227f/janusgraph-core-1.1.0-20240814-130106.bf4227f-cyclonedx.json,org.janusgraph:janusgraph-core:1.1.0-20240814-130106.bf4227f,19,19,True
sbom/org/janusgraph/janusgraph-core/1.1.0-20240814-130106.bf4227f/janusgraph-core-1.1.0-20240814-130106.bf4227f-cyclonedx.xml,org.janusgraph:janusgraph-core:1.1.0-20240814-130106.bf4227f,19,19,True
sbom/org/janusgraph/janusgraph-core/1.1.0-20240419-075336.ecd3214/janusgraph-core-1.1.0-20240419-075336.ecd3214-cyclonedx.json,org.janusgraph:janusgraph-core:1.1.0-20240419-075336.ecd3214,19,19,True
sbom/org/janusgraph/janusgraph-core/1.1.0-20240419-075336.ecd3214/janusgraph-core-1.1.0-20240419-075336.ecd3214-cyclonedx.xml,org.janusgraph:janusgraph-core:1.1.0-20240419-075336.ecd3214,19,19,True
sbom/org/janusgraph/janusgraph-core/1.1.0-20240816-185552.94c55f0/janusgraph-core-1.1.0-20240816-185552.94c55f0-cyclonedx.json,org.janusgraph:janusgraph-core:1.1.0-20240816-185552.94c55f0,19,19,True
sbom/org/janusgraph/janusgraph-core/1.1.0-20240816-185552.94c55f0/janusgraph-core-1.1.0-20240816-185552.94c55f0-cyclonedx.xml,org.janusgraph:janusgraph-core:1.1.0-20240816-185552.94c55f0,19,19,True
sbom/org/janusgraph/janusgraph-core/1.1.0-20240820-131340.85dc06d/janusgraph-core-1.1.0-20240820-131340.85dc06d-cyclonedx.xml,org.janusgraph:janusgraph-core:1.1.0-20240820-131340.85dc06d,19,19,True
sbom/org/janusgraph/janusgraph-core/1.1.0-20240820-131340.85dc06d/janusgraph-core-1.1.0-20240820-131340.85dc06d-cyclonedx.json,org.janusgraph:janusgraph-core:1.1.0-20240820-131340.85dc06d,19,19,True
sbom/org/janusgraph/janusgraph-core/1.0.1-20240712-074141.c161d92/janusgraph-core-1.0.1-20240712-074141.c161d92-cyclonedx.xml,org.janusgraph:janusgraph-core:1.0.1-20240712-074141.c161d92,19,19,True
sbom/org/janusgraph/janusgraph-core/1.0.1-20240712-074141.c161d92/janusgraph-core-1.0.1-20240712-074141.c161d92-cyclonedx.json,org.janusgraph:janusgraph-core:1.0.1-20240712-074141.c161d92,19,19,True
sbom/org/janusgraph/janusgraph/1.1.0-20240801-124342.ff323da/janusgraph-1.1.0-20240801-124342.ff323da-cyclonedx.json,org.janusgraph:janusgraph:1.1.0-20240801-124342.ff323da,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240801-124342.ff323da/janusgraph-1.1.0-20240801-124342.ff323da-cyclonedx.xml,org.janusgraph:janusgraph:1.1.0-20240801-124342.ff323da,23,3,False
