file_path,releaseId,sbom_deps,graph_deps,mapping
sbom/com/io7m/miscue/com.io7m.miscue.fx.seltzer/0.0.3/com.io7m.miscue.fx.seltzer-0.0.3-cyclonedx.xml,com.io7m.miscue:com.io7m.miscue.fx.seltzer:0.0.3,8,8,False
sbom/com/io7m/miscue/com.io7m.miscue.core/0.0.3/com.io7m.miscue.core-0.0.3-cyclonedx.xml,com.io7m.miscue:com.io7m.miscue.core:0.0.3,5,5,False
sbom/com/io7m/ivoirax/com.io7m.ivoirax.tests/0.0.1/com.io7m.ivoirax.tests-0.0.1-cyclonedx.xml,com.io7m.ivoirax:com.io7m.ivoirax.tests:0.0.1,11,11,False
sbom/world/convex/convex-peer/0.7.10/convex-peer-0.7.10-cyclonedx.xml,world.convex:convex-peer:0.7.10,1,1,False
sbom/io/dropwizard/metrics/metrics-jvm/4.2.14/metrics-jvm-4.2.14-cyclonedx.xml,io.dropwizard.metrics:metrics-jvm:4.2.14,2,2,False
sbom/io/dropwizard/metrics5/metrics-legacy-adapter-healthchecks/5.0.0-rc15/metrics-legacy-adapter-healthchecks-5.0.0-rc15-cyclonedx.xml,io.dropwizard.metrics5:metrics-legacy-adapter-healthchecks:5.0.0-rc15,1,1,False
sbom/nl/basjes/parse/useragent/yauaa-webapp/7.19.0/yauaa-webapp-7.19.0-cyclonedx.json,nl.basjes.parse.useragent:yauaa-webapp:7.19.0,16,16,False
sbom/nl/basjes/parse/useragent/yauaa-webapp/7.19.0/yauaa-webapp-7.19.0-cyclonedx.xml,nl.basjes.parse.useragent:yauaa-webapp:7.19.0,16,16,False
sbom/nl/basjes/parse/useragent/yauaa-webapp/7.19.1/yauaa-webapp-7.19.1-cyclonedx.json,nl.basjes.parse.useragent:yauaa-webapp:7.19.1,16,16,False
sbom/nl/basjes/parse/useragent/yauaa-webapp/7.19.1/yauaa-webapp-7.19.1-cyclonedx.xml,nl.basjes.parse.useragent:yauaa-webapp:7.19.1,16,16,False
